gene,drug,phenotype,activity_score,recommendation,classification,guideline_url
CYP2C19,voriconazole,Intermediate Metabolizer,,Use label-recommended dosing with therapeutic drug monitoring.,A,https://cpicpgx.org/guidelines/guideline-for-voriconazole-and-cyp2c19/
CYP2C19,voriconazole,Poor Metabolizer,,Use alternative antifungal agent.,A,https://cpicpgx.org/guidelines/guideline-for-voriconazole-and-cyp2c19/
CYP2C19,voriconazole,Rapid Metabolizer,,Use alternative antifungal agent or increase dose with TDM.,A,https://cpicpgx.org/guidelines/guideline-for-voriconazole-and-cyp2c19/
CYP2C19,voriconazole,Ultrarapid Metabolizer,,Use alternative antifungal agent or increase dose with TDM.,A,https://cpicpgx.org/guidelines/guideline-for-voriconazole-and-cyp2c19/
CYP2C9,warfarin,Normal Metabolizer,,Use label-recommended dosing algorithm.,A,https://cpicpgx.org/guidelines/guideline-for-warfarin-and-cyp2c9-and-vkorc1/
CYP2C9,warfarin,Intermediate Metabolizer,,Use a validated warfarin pharmacogenetic dosing algorithm with VKORC1 and clinical factors; CYP2C9 status is one input and not a standalone percent dose rule.,A,https://cpicpgx.org/guidelines/guideline-for-warfarin-and-cyp2c9-and-vkorc1/
CYP2C9,warfarin,Poor Metabolizer,,Use a validated warfarin pharmacogenetic dosing algorithm with VKORC1 and clinical factors; CYP2C9 poor-metabolizer status is not a standalone percent dose rule and may support alternative anticoagulant review.,A,https://cpicpgx.org/guidelines/guideline-for-warfarin-and-cyp2c9-and-vkorc1/
CYP2C9,phenytoin,Normal Metabolizer,2.0,"No adjustments needed from typical dosing strategies. Subsequent doses should be adjusted according to therapeutic drug monitoring, response, and side effects. An HLA-B*15:02 negative test does not eliminate the risk of phenytoin-induced SJS/TEN, and patients should be carefully monitored according to standard practice.",A,https://cpicpgx.org/guidelines/guideline-for-phenytoin-and-cyp2c9/
CYP2C9,phenytoin,Intermediate Metabolizer,1.5,"No adjustments needed from typical dosing strategies. Subsequent doses should be adjusted according to therapeutic drug monitoring, response and side effects. An HLA-B*15:02 negative test does not eliminate the risk of phenytoin-induced SJS/TEN, and patients should be carefully monitored according to standard practice.",A,https://cpicpgx.org/guidelines/guideline-for-phenytoin-and-cyp2c9/
CYP2C9,phenytoin,Intermediate Metabolizer,1.0,"For first dose, use typical initial or loading dose. For subsequent doses, use approximately 25% less than typical maintenance dose. Subsequent doses should be adjusted according to therapeutic drug monitoring, response and side effects. An HLA-B*15:02 negative test does not eliminate the risk of phenytoin-induced SJS/TEN, and patients should be carefully monitored according to standard practice.",A,https://cpicpgx.org/guidelines/guideline-for-phenytoin-and-cyp2c9/
CYP2C9,phenytoin,Poor Metabolizer,0.5,"For first dose, use typical initial or loading dose. For subsequent doses use approximately 50% less than typical maintenance dose. Subsequent doses should be adjusted according to therapeutic drug monitoring, response, and side effects. An HLA-B*15:02 negative test does not eliminate the risk of phenytoin-induced SJS/TEN, and patients should be carefully monitored according to standard practice.",A,https://cpicpgx.org/guidelines/guideline-for-phenytoin-and-cyp2c9/
CYP2C9,phenytoin,Poor Metabolizer,0.0,"For first dose, use typical initial or loading dose. For subsequent doses use approximately 50% less than typical maintenance dose. Subsequent doses should be adjusted according to therapeutic drug monitoring, response, and side effects. An HLA-B*15:02 negative test does not eliminate the risk of phenytoin-induced SJS/TEN, and patients should be carefully monitored according to standard practice.",A,https://cpicpgx.org/guidelines/guideline-for-phenytoin-and-cyp2c9/
CYP3A5,tacrolimus,Normal Metabolizer,,Increase starting dose by 1.5-2x. Monitor trough concentrations.,A,https://cpicpgx.org/guidelines/guideline-for-tacrolimus-and-cyp3a5/
CYP3A5,tacrolimus,Intermediate Metabolizer,,Increase starting dose by 1.5x. Monitor trough concentrations.,A,https://cpicpgx.org/guidelines/guideline-for-tacrolimus-and-cyp3a5/
CYP3A5,tacrolimus,Poor Metabolizer,,Use label-recommended dosing. Monitor trough concentrations.,A,https://cpicpgx.org/guidelines/guideline-for-tacrolimus-and-cyp3a5/
DPYD,fluorouracil,Normal Metabolizer,2.0,Use label-recommended dosing.,A,https://cpicpgx.org/guidelines/guideline-for-fluoropyrimidines-and-dpyd/
DPYD,fluorouracil,Intermediate Metabolizer,1.5,"Reduce starting dose by 50%, then titrate to toxicity/efficacy (or therapeutic drug monitoring, if available).",A,https://cpicpgx.org/guidelines/guideline-for-fluoropyrimidines-and-dpyd/
DPYD,fluorouracil,Intermediate Metabolizer,1.0,"Reduce starting dose by 50%, then titrate to toxicity/efficacy. The c.2846A>T/c.2846A>T genotype may require a >50% reduction.",A,https://cpicpgx.org/guidelines/guideline-for-fluoropyrimidines-and-dpyd/
DPYD,fluorouracil,Poor Metabolizer,0.5,"Avoid fluorouracil and capecitabine. If alternatives are unsuitable, a strongly reduced dose with early therapeutic drug monitoring may be considered.",A,https://cpicpgx.org/guidelines/guideline-for-fluoropyrimidines-and-dpyd/
DPYD,fluorouracil,Poor Metabolizer,0.0,Avoid fluorouracil and capecitabine. Use alternative chemotherapy.,A,https://cpicpgx.org/guidelines/guideline-for-fluoropyrimidines-and-dpyd/
DPYD,capecitabine,Normal Metabolizer,2.0,Use label-recommended dosing.,A,https://cpicpgx.org/guidelines/guideline-for-fluoropyrimidines-and-dpyd/
DPYD,capecitabine,Intermediate Metabolizer,1.5,"Reduce starting dose by 50%, then titrate to toxicity/efficacy (or therapeutic drug monitoring, if available).",A,https://cpicpgx.org/guidelines/guideline-for-fluoropyrimidines-and-dpyd/
DPYD,capecitabine,Intermediate Metabolizer,1.0,"Reduce starting dose by 50%, then titrate to toxicity/efficacy. The c.2846A>T/c.2846A>T genotype may require a >50% reduction.",A,https://cpicpgx.org/guidelines/guideline-for-fluoropyrimidines-and-dpyd/
DPYD,capecitabine,Poor Metabolizer,0.5,"Avoid capecitabine. If alternatives are unsuitable, a strongly reduced dose with early therapeutic drug monitoring may be considered.",A,https://cpicpgx.org/guidelines/guideline-for-fluoropyrimidines-and-dpyd/
DPYD,capecitabine,Poor Metabolizer,0.0,Avoid capecitabine. Use alternative chemotherapy.,A,https://cpicpgx.org/guidelines/guideline-for-fluoropyrimidines-and-dpyd/
TPMT,mercaptopurine,Normal Metabolizer,,Use label-recommended dosing.,A,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt/
TPMT,mercaptopurine,Intermediate Metabolizer,,Start at 30-70% of target dose. Titrate based on tolerance.,A,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt/
TPMT,mercaptopurine,Poor Metabolizer,,"For malignancy: initiate therapy with drastically reduced starting doses. Reduce starting dose by 10-fold and reduce frequency to thrice weekly instead of daily (e.g. 10 mg/m2/day given 3 days/week). During therapy, adjust mercaptopurine doses based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 4-6 weeks of stable dosing to reach steady state after each dose adjustment. If myelosuppression occurs, emphasis should be on reducing mercaptopurine over other agents. For nonmalignancy: consider alternative nonthiopurine immunosuppressant therapy.",A,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt/
TPMT,azathioprine,Normal Metabolizer,,Use label-recommended dosing.,A,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt/
TPMT,azathioprine,Intermediate Metabolizer,,Start at 30-70% of target dose. Titrate based on tolerance.,A,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt/
TPMT,azathioprine,Poor Metabolizer,,Consider alternative nonthiopurine immunosuppressant therapy.,A,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt/
TPMT,thioguanine,Normal Metabolizer,,Use label-recommended dosing.,A,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt/
TPMT,thioguanine,Intermediate Metabolizer,,Start with reduced doses (reduce by 30-50% of target) and titrate based on tolerance.,A,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt/
TPMT,thioguanine,Poor Metabolizer,,"Initiate therapy with drastically reduced starting doses. Reduce starting dose by 10-fold and reduce frequency to thrice weekly instead of daily. During therapy, adjust thioguanine doses based on degree of myelosuppression and disease-specific guidelines. It usually takes at least 4-6 weeks of stable dosing to reach steady state after each dose adjustment. If myelosuppression occurs, emphasis should be on reducing thioguanine over other agents.",A,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt/
SLCO1B1,simvastatin,Normal function,,Use label-recommended dosing.,A,https://cpicpgx.org/guidelines/guideline-for-simvastatin-and-slco1b1/
SLCO1B1,simvastatin,Decreased function,,Use lower dose or alternative statin. Avoid 80mg dose.,A,https://cpicpgx.org/guidelines/guideline-for-simvastatin-and-slco1b1/
SLCO1B1,simvastatin,Poor function,,Avoid simvastatin. Use alternative statin such as pravastatin or rosuvastatin.,A,https://cpicpgx.org/guidelines/guideline-for-simvastatin-and-slco1b1/
NUDT15,mercaptopurine,Normal Metabolizer,,Use label-recommended dosing.,A,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/
NUDT15,mercaptopurine,Intermediate Metabolizer,,Start at 30-80% of target dose and titrate based on tolerance.,A,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/
NUDT15,mercaptopurine,Poor Metabolizer,,Drastically reduce starting dose or select an alternative agent; monitor for myelosuppression.,A,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/
NUDT15,azathioprine,Normal Metabolizer,,Use label-recommended dosing.,A,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/
NUDT15,azathioprine,Intermediate Metabolizer,,Start at 30-80% of target dose and titrate based on tolerance.,A,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/
NUDT15,azathioprine,Poor Metabolizer,,Drastically reduce starting dose or select an alternative agent; monitor for myelosuppression.,A,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/
NUDT15,thioguanine,Normal Metabolizer,,Use label-recommended dosing.,A,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/
NUDT15,thioguanine,Intermediate Metabolizer,,Start at 50% of target dose and titrate based on tolerance.,A,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/
NUDT15,thioguanine,Poor Metabolizer,,Drastically reduce starting dose or select an alternative agent; monitor for myelosuppression.,A,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/
TPMT/NUDT15,mercaptopurine,Compound Intermediate Metabolizer,,"Compound TPMT/NUDT15 intermediate metabolizer (Intermediate at both genes): higher toxicity risk than a single-gene intermediate metabolizer. Start at 20-50% of the standard starting dose when the standard start is >=75 mg/m2/day (malignancy) or >=1.5 mg/kg/day (nonmalignancy); if the start is already below standard, dose reduction may not be needed. Adjust based on myelosuppression and titrate to tolerance. (CPIC Strong)",A,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/
TPMT/NUDT15,azathioprine,Compound Intermediate Metabolizer,,"Compound TPMT/NUDT15 intermediate metabolizer (Intermediate at both genes): higher toxicity risk than a single-gene intermediate metabolizer. Start at 20-50% of the standard starting dose when the standard start is >=2 mg/kg/day; if the start is already below standard, dose reduction may not be needed. Adjust based on myelosuppression and titrate to tolerance. (CPIC Moderate)",A,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/
TPMT/NUDT15,thioguanine,Compound Intermediate Metabolizer,,"Compound TPMT/NUDT15 intermediate metabolizer (Intermediate at both genes): higher toxicity risk than a single-gene intermediate metabolizer. Start at 20-50% of the standard starting dose when the standard start is >=40 mg/m2/day; if the start is already below standard, dose reduction may not be needed. Adjust based on myelosuppression and titrate to tolerance. (CPIC Moderate)",A,https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/
UGT1A1,atazanavir,Normal Metabolizer,,Use label-recommended dosing.,A,https://cpicpgx.org/guidelines/guideline-for-atazanavir-and-ugt1a1/
UGT1A1,atazanavir,Intermediate Metabolizer,,Use label-recommended dosing; low likelihood of bilirubin-related discontinuation.,A,https://cpicpgx.org/guidelines/guideline-for-atazanavir-and-ugt1a1/
UGT1A1,atazanavir,Poor Metabolizer,,Consider an alternative agent; risk of jaundice/hyperbilirubinemia may reduce adherence.,A,https://cpicpgx.org/guidelines/guideline-for-atazanavir-and-ugt1a1/
UGT1A1,irinotecan,Normal Metabolizer,,Use label-recommended dosing.,B,https://www.fda.gov/medical-devices/precision-medicine/table-pharmacogenetic-associations
UGT1A1,irinotecan,Intermediate Metabolizer,,Use label-recommended starting dose; consider reduction for high-dose regimens.,B,https://www.fda.gov/medical-devices/precision-medicine/table-pharmacogenetic-associations
UGT1A1,irinotecan,Poor Metabolizer,,"Reduce the irinotecan starting dose (e.g., by ~30%) and monitor for neutropenia/diarrhea.",B,https://www.fda.gov/medical-devices/precision-medicine/table-pharmacogenetic-associations
CYP2B6,efavirenz,Normal Metabolizer,,Use label-recommended dosing (600 mg/day).,A,https://cpicpgx.org/guidelines/cpic-guideline-for-efavirenz-based-on-cyp2b6-genotype/
CYP2B6,efavirenz,Intermediate Metabolizer,,Consider initiating efavirenz with decreased dose of 400 mg/day.,A,https://cpicpgx.org/guidelines/cpic-guideline-for-efavirenz-based-on-cyp2b6-genotype/
CYP2B6,efavirenz,Poor Metabolizer,,Consider initiating efavirenz with decreased dose of 400 or 200 mg/day.,A,https://cpicpgx.org/guidelines/cpic-guideline-for-efavirenz-based-on-cyp2b6-genotype/
CYP2B6,efavirenz,Rapid Metabolizer,,Use label-recommended dosing (600 mg/day).,A,https://cpicpgx.org/guidelines/cpic-guideline-for-efavirenz-based-on-cyp2b6-genotype/
CYP2B6,efavirenz,Ultrarapid Metabolizer,,Use label-recommended dosing (600 mg/day).,A,https://cpicpgx.org/guidelines/cpic-guideline-for-efavirenz-based-on-cyp2b6-genotype/
